0xffffff80086e1f7c: sub	sp, sp, #0xd0
0xffffff80086e20a4: sxtw	x21, w0
0xffffff80086e20a8: b	#0xffffff80086e2d60
0xffffff80086e20ac: ldr	x9, [x19, #0x58]
0xffffff80086e20b0: cbz	x9, #0xffffff80086e2a78
0xffffff80086e20b4: ldr	x0, [x19, #8]
0xffffff80086e20b8: ldr	w9, [x19, #0xc4]
0xffffff80086e20bc: cbz	w9, #0xffffff80086e2a78
0xffffff80086e20c0: mov	w9, #0x800d
0xffffff80086e20c4: movk	w9, #0x4008, lsl #16
0xffffff80086e20c8: cmp	w8, w9
0xffffff80086e20cc: b.le	#0xffffff80086e215c
0xffffff80086e20d0: mov	w9, #0x8007
0xffffff80086e20d4: movk	w9, #0x4014, lsl #16
0xffffff80086e20d8: cmp	w8, w9
0xffffff80086e20dc: b.gt	#0xffffff80086e2298
0xffffff80086e20e0: mov	w9, #0x7ffe
0xffffff80086e20e4: movk	w9, #0xbfef, lsl #16
0xffffff80086e20e8: add	w9, w8, w9
0xffffff80086e20ec: cmp	w9, #0x1c
0xffffff80086e20f0: b.hi	#0xffffff80086e263c
0xffffff80086e20f4: adrp	x10, #0xffffff8008d68000
0xffffff80086e20f8: add	x10, x10, #0x898
0xffffff80086e20fc: ldr	x9, [x10, x9, lsl #3]
0xffffff80086e2100: br	x9
0xffffff80086e2104: mrs	x8, sp_el0
0xffffff80086e2108: ldr	x8, [x8, #8]
0xffffff80086e210c: mov	x9, x20
0xffffff80086e2110: adds	x9, x9, #0x10
0xffffff80086e2114: ccmp	x9, x8, #2, lo
0xffffff80086e2118: cset	x10, ls
0xffffff80086e211c: cbz	x10, #0xffffff80086e2f10
0xffffff80086e2120: add	x0, sp, #0x38
0xffffff80086e2124: mov	w1, #0x10
0xffffff80086e2128: mov	w2, wzr
0xffffff80086e212c: bl	#0xffffff80082007a8
0xffffff80086e2130: add	x0, sp, #0x38
0xffffff80086e2134: mov	w2, #0x10
0xffffff80086e2138: mov	x1, x20
0xffffff80086e213c: bl	#0xffffff80083a33c0
0xffffff80086e2140: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2144: ldr	x1, [sp, #0x38]
0xffffff80086e2148: ldp	w2, w3, [sp, #0x40]
0xffffff80086e214c: mov	x0, x19
0xffffff80086e2150: mov	w4, wzr
0xffffff80086e2154: bl	#0xffffff80086cf208
0xffffff80086e2158: b	#0xffffff80086e32f8
0xffffff80086e215c: mov	w9, #0x8003
0xffffff80086e2160: cmp	w8, w9
0xffffff80086e2164: b.gt	#0xffffff80086e2238
0xffffff80086e2168: mov	w9, #0x800f
0xffffff80086e216c: movk	w9, #0xc018, lsl #16
0xffffff80086e2170: cmp	w8, w9
0xffffff80086e2174: b.gt	#0xffffff80086e2340
0xffffff80086e2178: mov	w9, #0x8005
0xffffff80086e217c: movk	w9, #0xc010, lsl #16
0xffffff80086e2180: cmp	w8, w9
0xffffff80086e2184: b.gt	#0xffffff80086e2500
0xffffff80086e2188: mov	w9, #0x800c
0xffffff80086e218c: movk	w9, #0x8004, lsl #16
0xffffff80086e2190: cmp	w8, w9
0xffffff80086e2194: b.eq	#0xffffff80086e2b34
0xffffff80086e2198: mov	w9, #0x8011
0xffffff80086e219c: movk	w9, #0x8004, lsl #16
0xffffff80086e21a0: cmp	w8, w9
0xffffff80086e21a4: b.ne	#0xffffff80086e2f1c
0xffffff80086e21a8: ldr	w8, [x19, #0x50]
0xffffff80086e21ac: mov	x9, x20
0xffffff80086e21b0: str	w8, [sp, #0x38]
0xffffff80086e21b4: mrs	x8, sp_el0
0xffffff80086e21b8: ldr	x8, [x8, #8]
0xffffff80086e21bc: adds	x9, x9, #4
0xffffff80086e21c0: ccmp	x9, x8, #2, lo
0xffffff80086e21c4: cset	x10, ls
0xffffff80086e21c8: mov	x21, #-0xe
0xffffff80086e21cc: cbnz	x10, #0xffffff80086e220c
0xffffff80086e21d0: b	#0xffffff80086e2d60
0xffffff80086e21d4: mov	w8, #0xb
0xffffff80086e21d8: strh	w8, [sp, #0x38]
0xffffff80086e21dc: strh	w8, [sp, #0x3a]
0xffffff80086e21e0: and	x8, x8, #0xfff
0xffffff80086e21e4: mov	w9, #0xb00000
0xffffff80086e21e8: bfi	x9, x8, #8, #0xc
0xffffff80086e21ec: str	x9, [x19, #0x58]
0xffffff80086e21f0: ldr	x8, [x21, #8]
0xffffff80086e21f4: mov	x9, x20
0xffffff80086e21f8: adds	x9, x9, #4
0xffffff80086e21fc: ccmp	x9, x8, #2, lo
0xffffff80086e2200: cset	x10, ls
0xffffff80086e2204: mov	x21, #-0xe
0xffffff80086e2208: cbz	x10, #0xffffff80086e2d60
0xffffff80086e220c: add	x0, sp, #0x38
0xffffff80086e2210: mov	w1, #4
0xffffff80086e2214: mov	w2, #1
0xffffff80086e2218: bl	#0xffffff80082007a8
0xffffff80086e221c: add	x1, sp, #0x38
0xffffff80086e2220: mov	w2, #4
0xffffff80086e2224: mov	x0, x20
0xffffff80086e2228: bl	#0xffffff80083a3a00
0xffffff80086e222c: cmp	w0, #0
0xffffff80086e2230: csel	x21, xzr, x21, eq
0xffffff80086e2234: b	#0xffffff80086e2d60
0xffffff80086e2238: mov	w9, #0x8011
0xffffff80086e223c: movk	w9, #0x4004, lsl #16
0xffffff80086e2240: cmp	w8, w9
0xffffff80086e2244: b.gt	#0xffffff80086e23ec
0xffffff80086e2248: mov	w9, #-0x8004
0xffffff80086e224c: add	w9, w8, w9
0xffffff80086e2250: cmp	w9, #0xf
0xffffff80086e2254: b.hi	#0xffffff80086e2f1c
0xffffff80086e2258: adrp	x10, #0xffffff8008d68000
0xffffff80086e225c: add	x10, x10, #0x818
0xffffff80086e2260: ldr	x9, [x10, x9, lsl #3]
0xffffff80086e2264: br	x9
0xffffff80086e2268: mov	x0, x19
0xffffff80086e226c: bl	#0xffffff80086d5ea4
0xffffff80086e2270: mov	x21, xzr
0xffffff80086e2274: b	#0xffffff80086e2d60
0xffffff80086e2278: ldr	w1, [sp, #0x38]
0xffffff80086e227c: mov	x0, x19
0xffffff80086e2280: bl	#0xffffff80086d66e4
0xffffff80086e2284: cbnz	w0, #0xffffff80086e2290
0xffffff80086e2288: mov	w8, #1
0xffffff80086e228c: str	w8, [x19, #0xc4]
0xffffff80086e2290: sxtw	x21, w0
0xffffff80086e2294: b	#0xffffff80086e2d60
0xffffff80086e2298: mov	w9, #0x8016
0xffffff80086e229c: movk	w9, #0x4018, lsl #16
0xffffff80086e22a0: cmp	w8, w9
0xffffff80086e22a4: b.le	#0xffffff80086e246c
0xffffff80086e22a8: mov	w9, #0x8017
0xffffff80086e22ac: movk	w9, #0x4018, lsl #16
0xffffff80086e22b0: cmp	w8, w9
0xffffff80086e22b4: b.eq	#0xffffff80086e2b60
0xffffff80086e22b8: mov	w9, #0x800f
0xffffff80086e22bc: movk	w9, #0x4020, lsl #16
0xffffff80086e22c0: cmp	w8, w9
0xffffff80086e22c4: b.eq	#0xffffff80086e2bbc
0xffffff80086e22c8: mov	w9, #0x8018
0xffffff80086e22cc: movk	w9, #0x4020, lsl #16
0xffffff80086e22d0: cmp	w8, w9
0xffffff80086e22d4: b.ne	#0xffffff80086e2f1c
0xffffff80086e22d8: mrs	x8, sp_el0
0xffffff80086e22dc: ldr	x8, [x8, #8]
0xffffff80086e22e0: mov	x9, x20
0xffffff80086e22e4: adds	x9, x9, #0x20
0xffffff80086e22e8: ccmp	x9, x8, #2, lo
0xffffff80086e22ec: cset	x10, ls
0xffffff80086e22f0: cbz	x10, #0xffffff80086e2f08
0xffffff80086e22f4: add	x0, sp, #0x38
0xffffff80086e22f8: mov	w1, #0x20
0xffffff80086e22fc: mov	w2, wzr
0xffffff80086e2300: bl	#0xffffff80082007a8
0xffffff80086e2304: add	x0, sp, #0x38
0xffffff80086e2308: mov	w2, #0x20
0xffffff80086e230c: mov	x1, x20
0xffffff80086e2310: bl	#0xffffff80083a33c0
0xffffff80086e2314: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2318: ldrb	w8, [sp, #0x57]
0xffffff80086e231c: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e2320: add	x0, sp, #0x38
0xffffff80086e2324: add	x1, sp, #0x18
0xffffff80086e2328: bl	#0xffffff80086f297c
0xffffff80086e232c: ldr	w8, [sp, #0x18]
0xffffff80086e2330: cmp	w0, #0
0xffffff80086e2334: csel	w8, w8, w0, eq
0xffffff80086e2338: sxtw	x21, w8
0xffffff80086e233c: b	#0xffffff80086e2d60
0xffffff80086e2340: mov	w9, #0x8004
0xffffff80086e2344: movk	w9, #0xc020, lsl #16
0xffffff80086e2348: cmp	w8, w9
0xffffff80086e234c: b.gt	#0xffffff80086e259c
0xffffff80086e2350: mov	w9, #0x8010
0xffffff80086e2354: movk	w9, #0xc018, lsl #16
0xffffff80086e2358: cmp	w8, w9
0xffffff80086e235c: b.eq	#0xffffff80086e2c30
0xffffff80086e2360: mov	w9, #0x8016
0xffffff80086e2364: movk	w9, #0xc018, lsl #16
0xffffff80086e2368: cmp	w8, w9
0xffffff80086e236c: b.ne	#0xffffff80086e2f1c
0xffffff80086e2370: mrs	x21, sp_el0
0xffffff80086e2374: ldr	x8, [x21, #8]
0xffffff80086e2378: mov	x9, x20
0xffffff80086e237c: adds	x9, x9, #0x18
0xffffff80086e2380: ccmp	x9, x8, #2, lo
0xffffff80086e2384: cset	x10, ls
0xffffff80086e2388: cbz	x10, #0xffffff80086e2f0c
0xffffff80086e238c: add	x0, sp, #0x38
0xffffff80086e2390: mov	w1, #0x18
0xffffff80086e2394: mov	w2, wzr
0xffffff80086e2398: bl	#0xffffff80082007a8
0xffffff80086e239c: add	x0, sp, #0x38
0xffffff80086e23a0: mov	w2, #0x18
0xffffff80086e23a4: mov	x1, x20
0xffffff80086e23a8: bl	#0xffffff80083a33c0
0xffffff80086e23ac: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e23b0: ldr	x8, [sp, #0x38]
0xffffff80086e23b4: str	x8, [sp, #0x18]
0xffffff80086e23b8: tbnz	w8, #5, #0xffffff80086e3010
0xffffff80086e23bc: ldp	w1, w3, [sp, #0x48]
0xffffff80086e23c0: ldr	x2, [sp, #0x40]
0xffffff80086e23c4: add	x8, sp, #0x38
0xffffff80086e23c8: add	x5, x8, #0x10
0xffffff80086e23cc: add	x4, x8, #8
0xffffff80086e23d0: add	x6, sp, #0x18
0xffffff80086e23d4: mov	x0, x19
0xffffff80086e23d8: bl	#0xffffff80086de3b4
0xffffff80086e23dc: ldr	x8, [sp, #0x18]
0xffffff80086e23e0: sxtw	x19, w0
0xffffff80086e23e4: str	x8, [sp, #0x38]
0xffffff80086e23e8: b	#0xffffff80086e3014
0xffffff80086e23ec: mov	w9, #0x8012
0xffffff80086e23f0: movk	w9, #0x4004, lsl #16
0xffffff80086e23f4: cmp	w8, w9
0xffffff80086e23f8: b.eq	#0xffffff80086e2cbc
0xffffff80086e23fc: mov	w9, #0x8019
0xffffff80086e2400: movk	w9, #0x4004, lsl #16
0xffffff80086e2404: cmp	w8, w9
0xffffff80086e2408: b.eq	#0xffffff80086e2d0c
0xffffff80086e240c: mov	w9, #0x8007
0xffffff80086e2410: movk	w9, #0x4008, lsl #16
0xffffff80086e2414: cmp	w8, w9
0xffffff80086e2418: b.ne	#0xffffff80086e2f1c
0xffffff80086e241c: mrs	x8, sp_el0
0xffffff80086e2420: ldr	x8, [x8, #8]
0xffffff80086e2424: mov	x9, x20
0xffffff80086e2428: adds	x9, x9, #8
0xffffff80086e242c: ccmp	x9, x8, #2, lo
0xffffff80086e2430: cset	x10, ls
0xffffff80086e2434: cbz	x10, #0xffffff80086e2f14
0xffffff80086e2438: add	x0, sp, #0x38
0xffffff80086e243c: mov	w1, #8
0xffffff80086e2440: mov	w2, wzr
0xffffff80086e2444: bl	#0xffffff80082007a8
0xffffff80086e2448: add	x0, sp, #0x38
0xffffff80086e244c: mov	w2, #8
0xffffff80086e2450: mov	x1, x20
0xffffff80086e2454: bl	#0xffffff80083a33c0
0xffffff80086e2458: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e245c: ldr	x1, [sp, #0x38]
0xffffff80086e2460: mov	x0, x19
0xffffff80086e2464: bl	#0xffffff80086c8120
0xffffff80086e2468: b	#0xffffff80086e32f8
0xffffff80086e246c: mov	w9, #0x8008
0xffffff80086e2470: movk	w9, #0x4014, lsl #16
0xffffff80086e2474: cmp	w8, w9
0xffffff80086e2478: b.eq	#0xffffff80086e2d90
0xffffff80086e247c: mov	w9, #0x8009
0xffffff80086e2480: movk	w9, #0x4018, lsl #16
0xffffff80086e2484: cmp	w8, w9
0xffffff80086e2488: b.ne	#0xffffff80086e2f1c
0xffffff80086e248c: mrs	x8, sp_el0
0xffffff80086e2490: ldr	x8, [x8, #8]
0xffffff80086e2494: mov	x9, x20
0xffffff80086e2498: adds	x9, x9, #0x18
0xffffff80086e249c: ccmp	x9, x8, #2, lo
0xffffff80086e24a0: cset	x10, ls
0xffffff80086e24a4: cbz	x10, #0xffffff80086e2f0c
0xffffff80086e24a8: add	x0, sp, #0x38
0xffffff80086e24ac: mov	w1, #0x18
0xffffff80086e24b0: mov	w2, wzr
0xffffff80086e24b4: bl	#0xffffff80082007a8
0xffffff80086e24b8: add	x0, sp, #0x38
0xffffff80086e24bc: mov	w2, #0x18
0xffffff80086e24c0: mov	x1, x20
0xffffff80086e24c4: bl	#0xffffff80083a33c0
0xffffff80086e24c8: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e24cc: mov	w8, #0x2f90
0xffffff80086e24d0: movk	w8, #2, lsl #16
0xffffff80086e24d4: add	x20, x19, x8
0xffffff80086e24d8: mov	x0, x20
0xffffff80086e24dc: bl	#0xffffff8008ca8158
0xffffff80086e24e0: ldr	x8, [x19, #8]
0xffffff80086e24e4: add	x2, sp, #0x38
0xffffff80086e24e8: ldr	x0, [x8, #0x1ac8]
0xffffff80086e24ec: mov	w8, #0x2f88
0xffffff80086e24f0: movk	w8, #2, lsl #16
0xffffff80086e24f4: add	x1, x19, x8
0xffffff80086e24f8: bl	#0xffffff80086d7c6c
0xffffff80086e24fc: b	#0xffffff80086e2704
0xffffff80086e2500: mov	w9, #0x8006
0xffffff80086e2504: movk	w9, #0xc010, lsl #16
0xffffff80086e2508: cmp	w8, w9
0xffffff80086e250c: b.eq	#0xffffff80086e2df8
0xffffff80086e2510: mov	w9, #0x801f
0xffffff80086e2514: movk	w9, #0xc010, lsl #16
0xffffff80086e2518: cmp	w8, w9
0xffffff80086e251c: b.ne	#0xffffff80086e2f1c
0xffffff80086e2520: mrs	x21, sp_el0
0xffffff80086e2524: ldr	x8, [x21, #8]
0xffffff80086e2528: mov	x9, x20
0xffffff80086e252c: adds	x9, x9, #0x10
0xffffff80086e2530: ccmp	x9, x8, #2, lo
0xffffff80086e2534: cset	x10, ls
0xffffff80086e2538: cbz	x10, #0xffffff80086e2f10
0xffffff80086e253c: add	x0, sp, #0x38
0xffffff80086e2540: mov	w1, #0x10
0xffffff80086e2544: mov	w2, wzr
0xffffff80086e2548: add	x22, sp, #0x38
0xffffff80086e254c: bl	#0xffffff80082007a8
0xffffff80086e2550: add	x0, sp, #0x38
0xffffff80086e2554: mov	w2, #0x10
0xffffff80086e2558: mov	x1, x20
0xffffff80086e255c: bl	#0xffffff80083a33c0
0xffffff80086e2560: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2564: ldp	x1, x2, [sp, #0x38]
0xffffff80086e2568: add	x4, x22, #8
0xffffff80086e256c: add	x3, sp, #0x38
0xffffff80086e2570: mov	x0, x19
0xffffff80086e2574: bl	#0xffffff80086c79e0
0xffffff80086e2578: ldr	x8, [x21, #8]
0xffffff80086e257c: mov	x9, x20
0xffffff80086e2580: mov	w19, w0
0xffffff80086e2584: adds	x9, x9, #0x10
0xffffff80086e2588: ccmp	x9, x8, #2, lo
0xffffff80086e258c: cset	x10, ls
0xffffff80086e2590: mov	x21, #-0xe
0xffffff80086e2594: cbnz	x10, #0xffffff80086e2e68
0xffffff80086e2598: b	#0xffffff80086e2d60
0xffffff80086e259c: mov	w9, #0x8005
0xffffff80086e25a0: movk	w9, #0xc020, lsl #16
0xffffff80086e25a4: cmp	w8, w9
0xffffff80086e25a8: b.eq	#0xffffff80086e2e98
0xffffff80086e25ac: mov	w9, #0x8015
0xffffff80086e25b0: movk	w9, #0xc020, lsl #16
0xffffff80086e25b4: cmp	w8, w9
0xffffff80086e25b8: b.ne	#0xffffff80086e2f1c
0xffffff80086e25bc: mrs	x23, sp_el0
0xffffff80086e25c0: ldr	x8, [x23, #8]
0xffffff80086e25c4: mov	x9, x20
0xffffff80086e25c8: adds	x9, x9, #0x20
0xffffff80086e25cc: ccmp	x9, x8, #2, lo
0xffffff80086e25d0: cset	x10, ls
0xffffff80086e25d4: cbz	x10, #0xffffff80086e2f08
0xffffff80086e25d8: add	x0, sp, #0x38
0xffffff80086e25dc: mov	w1, #0x20
0xffffff80086e25e0: mov	w2, wzr
0xffffff80086e25e4: bl	#0xffffff80082007a8
0xffffff80086e25e8: add	x0, sp, #0x38
0xffffff80086e25ec: mov	w2, #0x20
0xffffff80086e25f0: mov	x1, x20
0xffffff80086e25f4: bl	#0xffffff80083a33c0
0xffffff80086e25f8: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e25fc: ldr	x8, [sp, #0x48]
0xffffff80086e2600: sub	x9, x8, #1
0xffffff80086e2604: cmp	x9, #0x7ff
0xffffff80086e2608: b.hi	#0xffffff80086e2618
0xffffff80086e260c: ldr	x9, [sp, #0x40]
0xffffff80086e2610: lsr	x9, x9, #0x35
0xffffff80086e2614: cbz	x9, #0xffffff80086e316c
0xffffff80086e2618: mov	x19, #-0x16
0xffffff80086e261c: ldr	x8, [x23, #8]
0xffffff80086e2620: mov	x9, x20
0xffffff80086e2624: adds	x9, x9, #0x20
0xffffff80086e2628: ccmp	x9, x8, #2, lo
0xffffff80086e262c: cset	x10, ls
0xffffff80086e2630: mov	x21, #-0xe
0xffffff80086e2634: cbnz	x10, #0xffffff80086e30ec
0xffffff80086e2638: b	#0xffffff80086e2d60
0xffffff80086e263c: mov	w9, #0x800e
0xffffff80086e2640: movk	w9, #0x4008, lsl #16
0xffffff80086e2644: cmp	w8, w9
0xffffff80086e2648: b.ne	#0xffffff80086e2f1c
0xffffff80086e264c: mrs	x8, sp_el0
0xffffff80086e2650: ldr	x8, [x8, #8]
0xffffff80086e2654: mov	x9, x20
0xffffff80086e2658: adds	x9, x9, #8
0xffffff80086e265c: ccmp	x9, x8, #2, lo
0xffffff80086e2660: cset	x10, ls
0xffffff80086e2664: cbz	x10, #0xffffff80086e2f14
0xffffff80086e2668: add	x0, sp, #0x38
0xffffff80086e266c: mov	w1, #8
0xffffff80086e2670: mov	w2, wzr
0xffffff80086e2674: bl	#0xffffff80082007a8
0xffffff80086e2678: add	x0, sp, #0x38
0xffffff80086e267c: mov	w2, #8
0xffffff80086e2680: mov	x1, x20
0xffffff80086e2684: bl	#0xffffff80083a33c0
0xffffff80086e2688: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e268c: mov	w8, #0x3902
0xffffff80086e2690: movk	w8, #2, lsl #16
0xffffff80086e2694: mov	w9, #1
0xffffff80086e2698: strb	w9, [x19, x8]
0xffffff80086e269c: ldr	x1, [sp, #0x38]
0xffffff80086e26a0: mov	w2, #0xff
0xffffff80086e26a4: mov	x0, x19
0xffffff80086e26a8: mov	w3, wzr
0xffffff80086e26ac: bl	#0xffffff80086c7110
0xffffff80086e26b0: b	#0xffffff80086e32f8
0xffffff80086e26b4: mov	w8, #0x2f90
0xffffff80086e26b8: movk	w8, #2, lsl #16
0xffffff80086e26bc: add	x20, x19, x8
0xffffff80086e26c0: mov	x0, x20
0xffffff80086e26c4: bl	#0xffffff8008ca8158
0xffffff80086e26c8: mov	w8, #0x2f88
0xffffff80086e26cc: movk	w8, #2, lsl #16
0xffffff80086e26d0: ldr	x0, [x19, x8]
0xffffff80086e26d4: mov	w1, wzr
0xffffff80086e26d8: bl	#0xffffff80086d7de8
0xffffff80086e26dc: b	#0xffffff80086e2704
0xffffff80086e26e0: mov	w8, #0x2f90
0xffffff80086e26e4: movk	w8, #2, lsl #16
0xffffff80086e26e8: add	x20, x19, x8
0xffffff80086e26ec: mov	x0, x20
0xffffff80086e26f0: bl	#0xffffff8008ca8158
0xffffff80086e26f4: mov	w8, #0x2f88
0xffffff80086e26f8: movk	w8, #2, lsl #16
0xffffff80086e26fc: ldr	x0, [x19, x8]
0xffffff80086e2700: bl	#0xffffff80086d85c4
0xffffff80086e2704: mov	w19, w0
0xffffff80086e2708: mov	x0, x20
0xffffff80086e270c: bl	#0xffffff8008ca83d0
0xffffff80086e2710: sxtw	x21, w19
0xffffff80086e2714: b	#0xffffff80086e2d60
0xffffff80086e2718: bl	#0xffffff80086eba6c
0xffffff80086e271c: mov	x21, xzr
0xffffff80086e2720: b	#0xffffff80086e2d60
0xffffff80086e2724: mrs	x21, sp_el0
0xffffff80086e2728: ldr	x8, [x21, #8]
0xffffff80086e272c: mov	x9, x20
0xffffff80086e2730: adds	x9, x9, #0x10
0xffffff80086e2734: ccmp	x9, x8, #2, lo
0xffffff80086e2738: cset	x10, ls
0xffffff80086e273c: cbz	x10, #0xffffff80086e2f10
0xffffff80086e2740: add	x0, sp, #0x38
0xffffff80086e2744: mov	w1, #0x10
0xffffff80086e2748: mov	w2, wzr
0xffffff80086e274c: bl	#0xffffff80082007a8
0xffffff80086e2750: add	x0, sp, #0x38
0xffffff80086e2754: mov	w2, #0x10
0xffffff80086e2758: mov	x1, x20
0xffffff80086e275c: bl	#0xffffff80083a33c0
0xffffff80086e2760: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2764: ldr	w8, [sp, #0x44]
0xffffff80086e2768: ldr	x22, [x19, #8]
0xffffff80086e276c: cbz	w8, #0xffffff80086e304c
0xffffff80086e2770: ldr	x0, [x22, #0x20]
0xffffff80086e2774: adrp	x1, #0xffffff8008fce000
0xffffff80086e2778: add	x1, x1, #0xeb4
0xffffff80086e277c: bl	#0xffffff80084332ac
0xffffff80086e2780: mov	w19, #-0x16
0xffffff80086e2784: b	#0xffffff80086e2710
0xffffff80086e2788: mrs	x21, sp_el0
0xffffff80086e278c: ldr	x8, [x21, #8]
0xffffff80086e2790: mov	x9, x20
0xffffff80086e2794: adds	x9, x9, #0x10
0xffffff80086e2798: ccmp	x9, x8, #2, lo
0xffffff80086e279c: cset	x10, ls
0xffffff80086e27a0: cbz	x10, #0xffffff80086e2f10
0xffffff80086e27a4: add	x0, sp, #0x38
0xffffff80086e27a8: mov	w1, #0x10
0xffffff80086e27ac: mov	w2, wzr
0xffffff80086e27b0: bl	#0xffffff80082007a8
0xffffff80086e27b4: add	x0, sp, #0x38
0xffffff80086e27b8: mov	w2, #0x10
0xffffff80086e27bc: mov	x1, x20
0xffffff80086e27c0: bl	#0xffffff80083a33c0
0xffffff80086e27c4: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e27c8: ldr	x19, [sp, #0x38]
0xffffff80086e27cc: cbz	x19, #0xffffff80086e3068
0xffffff80086e27d0: ldr	w8, [sp, #0x40]
0xffffff80086e27d4: cmp	w8, #0x14
0xffffff80086e27d8: b.lo	#0xffffff80086e2ad0
0xffffff80086e27dc: ldr	x8, [x21, #8]
0xffffff80086e27e0: mov	x9, x19
0xffffff80086e27e4: mov	x21, #-0xe
0xffffff80086e27e8: adds	x9, x9, #0x14
0xffffff80086e27ec: ccmp	x9, x8, #2, lo
0xffffff80086e27f0: cset	x10, ls
0xffffff80086e27f4: cbz	x10, #0xffffff80086e2d60
0xffffff80086e27f8: adrp	x20, #0xffffff8008fce000
0xffffff80086e27fc: add	x20, x20, #0xed6
0xffffff80086e2800: mov	w1, #0x14
0xffffff80086e2804: mov	w2, #1
0xffffff80086e2808: mov	x0, x20
0xffffff80086e280c: mov	w22, #0x14
